Site;Code;scale;extinct_spp;pextinct_spp;hist_sp;mod_lost;percentage_lost_1;percentage_lost_2;change_funrich;change_funeven;change_fundiver;change_fundisp;change_hypervol;Loss_natVeg;elev;exp_date;loss_percnat_5;loss_percnat_20;loss_percnat_50
Toche;TOC;5;3;9;132;123;2.272727273;6.818181818;-0.0567003;-0.0065427;-0.0023601;-0.012868;-0.492933;8;2396;;8;14;18
Fusagasuga;FUS;5;17;29;180;151;9.444444444;16.11111111;-0.3903878;0.0056926;-0.0053231;-0.114686;-14.319319;32;2192;;32;35;24
Honda;HON;5;5;10;113;103;4.424778761;8.849557522;-0.1056873;-0.0023775;0.0001819;-0.079614;-4.7645476;2;345;;2;13;28
San Agustin;SAN;5;8;13;155;142;5.161290323;8.387096774;-0.223746;0.0089972;0.0011494;-0.028554;-2.838207;39;1890;;39;13;21
Florencia;FLO;5;47;80;189;109;24.86772487;42.32804233;-0.3894352;0.006503;-0.0008433;0.180253;-6.220549;29;292;;29;49;50
Barbacoas;BAR;5;15;32;133;101;11.27819549;24.06015038;-0.4807999;-0.0041013;-0.0016305;-0.048795;-7.270269;7;92;;7;3;2
Miraflores;MIR;5;11;23;151;128;7.284768212;15.23178808;-0.356061;-0.0010933;0.0169361;-0.129903;-4.75557;77;1800;;77;26;21
San Antonio;ANT;5;29;NA;201;170;14.4278607;NA;-0.14;0.007;0.012;-0.04;-37;30;1950;;30;30;16
Toche;TOC;20;3;9;132;123;2.272727273;6.818181818;-0.0567003;-0.0065427;-0.0023601;-0.012868;-0.492933;14;2396;;8;14;18
Fusagasuga;FUS;20;17;29;180;151;9.444444444;16.11111111;-0.3903878;0.0056926;-0.0053231;-0.114686;-14.319319;35;2192;;32;35;24
Honda;HON;20;5;10;113;103;4.424778761;8.849557522;-0.1056873;-0.0023775;0.0001819;-0.079614;-4.7645476;13;345;;2;13;28
San Agustin;SAN;20;8;13;155;142;5.161290323;8.387096774;-0.223746;0.0089972;0.0011494;-0.028554;-2.838207;13;1890;;39;13;21
Florencia;FLO;20;47;80;189;109;24.86772487;42.32804233;-0.3894352;0.006503;-0.0008433;0.180253;-6.220549;49;292;;29;49;50
Barbacoas;BAR;20;15;32;133;101;11.27819549;24.06015038;-0.4807999;-0.0041013;-0.0016305;-0.048795;-7.270269;3;92;;7;3;2
Miraflores;MIR;20;11;23;151;128;7.284768212;15.23178808;-0.356061;-0.0010933;0.0169361;-0.129903;-4.75557;26;1800;;77;26;21
San Antonio;ANT;20;29;NA;201;170;14.4278607;NA;-0.14;0.007;0.012;-0.04;-37;30;1950;;30;30;16
Toche;TOC;50;3;9;132;123;2.272727273;6.818181818;-0.0567003;-0.0065427;-0.0023601;-0.012868;-0.492933;18;2396;;8;14;18
Fusagasuga;FUS;50;17;29;180;151;9.444444444;16.11111111;-0.3903878;0.0056926;-0.0053231;-0.114686;-14.319319;24;2192;;32;35;24
Honda;HON;50;5;10;113;103;4.424778761;8.849557522;-0.1056873;-0.0023775;0.0001819;-0.079614;-4.7645476;28;345;;2;13;28
San Agustin;SAN;50;8;13;155;142;5.161290323;8.387096774;-0.223746;0.0089972;0.0011494;-0.028554;-2.838207;21;1890;;39;13;21
Florencia;FLO;50;47;80;189;109;24.86772487;42.32804233;-0.3894352;0.006503;-0.0008433;0.180253;-6.220549;50;292;;29;49;50
Barbacoas;BAR;50;15;32;133;101;11.27819549;24.06015038;-0.4807999;-0.0041013;-0.0016305;-0.048795;-7.270269;2;92;;7;3;2
Miraflores;MIR;50;11;23;151;128;7.284768212;15.23178808;-0.356061;-0.0010933;0.0169361;-0.129903;-4.75557;21;1800;;77;26;21
San Antonio;ANT;50;29;NA;201;170;14.4278607;NA;-0.14;0.007;0.012;-0.04;-37.28;16;1950;;30;30;16
