Site;Code;scale;extinct_spp;change_sp richness;change_funrich;change_funeven;change_fundiver;change_fundisp;change_hypervol;change_hypervol_unique;Loss_natVeg;elev;exp_date;loss_percnat_5;loss_percnat_20;loss_percnat_50
Toche;TOC;5;28;79;0.58;-0.01;-0.01;0.11;12.11;12.09;8;2396;;8;14;18
Fusagasuga;FUS;5;90;-44;-0.47;0.03;-0.01;-0.73;-7.13;-7.13;32;2192;;32;35;24
Honda;HON;5;26;90;0.6;0.01;-0.01;1.21;26.16;26.17;2;345;;2;13;28
San Agustin;SAN;5;52;47;0.35;0.01;0.03;0.08;10.34;10.34;39;1890;;39;13;21
Florencia;FLO;5;116;-18;0.16;0.01;0;0.41;20.77;20.77;29;292;;29;49;50
Barbacoas;BAR;5;54;35;0.2;-0.01;-0.02;0.16;2.16;2.16;7;92;;7;3;2
Miraflores;MIR;5;62;3;0.47;-0.02;0.02;0.14;18.162;18.16;77;1800;;77;26;21
Toche;TOC;20;28;79;0.58;-0.01;-0.01;0.11;12.11;12.09;14;2396;;8;14;18
Fusagasuga;FUS;20;90;-44;-0.47;0.03;-0.01;-0.73;-7.13;-7.13;35;2192;;32;35;24
Honda;HON;20;26;90;0.6;0.01;-0.01;1.21;26.16;26.17;13;345;;2;13;28
San Agustin;SAN;20;52;47;0.35;0.01;0.03;0.08;10.34;10.34;13;1890;;39;13;21
Florencia;FLO;20;116;-18;0.16;0.01;0;0.41;20.77;20.77;49;292;;29;49;50
Barbacoas;BAR;20;54;35;0.2;-0.01;-0.02;0.16;2.16;2.16;3;92;;7;3;2
Miraflores;MIR;20;62;3;0.47;-0.02;0.02;0.14;18.162;18.16;26;1800;;77;26;21
Toche;TOC;50;28;79;0.58;-0.01;-0.01;0.11;12.11;12.09;18;2396;;8;14;18
Fusagasuga;FUS;50;90;-44;-0.47;0.03;-0.01;-0.73;-7.13;-7.13;24;2192;;32;35;24
Honda;HON;50;26;90;0.6;0.01;-0.01;1.21;26.16;26.17;28;345;;2;13;28
San Agustin;SAN;50;52;47;0.35;0.01;0.03;0.08;10.34;10.34;21;1890;;39;13;21
Florencia;FLO;50;116;-18;0.16;0.01;0;0.41;20.77;20.77;50;292;;29;49;50
Barbacoas;BAR;50;54;35;0.2;-0.01;-0.02;0.16;2.16;2.16;2;92;;7;3;2
Miraflores;MIR;50;62;3;0.47;-0.02;0.02;0.14;18.162;18.16;21;1800;;77;26;21
